Domain,Title,arXiv_ID,Status
CS,Attention Is All You Need,1706.03762,VERIFIED
CS,Adam: A Method for Stochastic Optimization,1412.6980,VERIFIED
CS,Deep Residual Learning for Image Recognition,1512.03385,VERIFIED
CS,Generative Adversarial Networks,1406.2661,TITLE_MISMATCH
CS,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,1810.04805,VERIFIED
CS,Playing Atari with Deep Reinforcement Learning,1312.5602,VERIFIED
CS,Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,1712.01815,TITLE_MISMATCH
CS,Language Models are Few-Shot Learners,2005.14165,VERIFIED
CS,Improving neural networks by preventing co-adaptation of feature detectors,1207.0580,TITLE_MISMATCH
CS,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,1502.03167,VERIFIED
CS,Auto-Encoding Variational Bayes,1312.6114,VERIFIED
CS,Show and Tell: A Neural Image Caption Generator,1411.4555,VERIFIED
CS,Sequence to Sequence Learning with Neural Networks,1409.3215,VERIFIED
CS,Neural Machine Translation by Jointly Learning to Align and Translate,1409.0473,VERIFIED
CS,Efficient Estimation of Word Representations in Vector Space,1301.3781,VERIFIED
CS,Distributed Representations of Words and Phrases and their Compositionality,1310.4546,VERIFIED
CS,Very Deep Convolutional Networks for Large-Scale Image Recognition,1409.1556,VERIFIED
CS,Going Deeper with Convolutions,1409.4842,VERIFIED
CS,U-Net: Convolutional Networks for Biomedical Image Segmentation,1505.04597,VERIFIED
CS,Mask R-CNN,1703.06870,VERIFIED
CS,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,1506.01497,VERIFIED
CS,"You Only Look Once: Unified, Real-Time Object Detection",1506.02640,VERIFIED
CS,SSD: Single Shot MultiBox Detector,1512.02325,VERIFIED
CS,XGBoost: A Scalable Tree Boosting System,1603.02754,VERIFIED
CS,Semi-Supervised Classification with Graph Convolutional Networks,1609.02907,VERIFIED
CS,Graph Attention Networks,1710.10903,VERIFIED
CS,Inductive Representation Learning on Large Graphs,1706.02216,VERIFIED
CS,Semi-Supervised Classification with Graph Convolutional Networks,1609.02907,VERIFIED
CS,Deep Reinforcement Learning with Double Q-learning,1509.06461,VERIFIED
CS,Continuous control with deep reinforcement learning,1509.02971,VERIFIED
CS,Asynchronous Methods for Deep Reinforcement Learning,1602.01783,VERIFIED
CS,Proximal Policy Optimization Algorithms,1707.06347,VERIFIED
CS,Neural Turing Machines,1410.5401,VERIFIED
CS,Memory Networks,1410.3916,VERIFIED
CS,End-To-End Memory Networks,1503.08895,VERIFIED
CS,Pointer Networks,1506.03134,VERIFIED
CS,A Neural Conversational Model,1506.05869,VERIFIED
CS,GloVe: Global Vectors for Word Representation,UNKNOWN,NO_ID
CS,Deep contextualized word representations,1802.05365,VERIFIED
CS,RoBERTa: A Robustly Optimized BERT Pretraining Approach,1907.11692,VERIFIED
CS,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,1909.11942,VERIFIED
CS,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,1910.10683,VERIFIED
CS,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",1910.01108,VERIFIED
CS,Semantic Image Synthesis with Spatially-Adaptive Normalization,1903.07291,VERIFIED
CS,A Style-Based Generator Architecture for Generative Adversarial Networks,1812.04948,VERIFIED
CS,Analyzing and Improving the Image Quality of StyleGAN,1912.04958,VERIFIED
CS,Continuous control with deep reinforcement learning,1509.02971,VERIFIED
CS,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,1801.01290,VERIFIED
CS,Playing Atari with Deep Reinforcement Learning,1312.5602,VERIFIED
CS,Wasserstein GAN,1701.07875,VERIFIED
CS,Improved Training of Wasserstein GANs,1704.00028,VERIFIED
CS,Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks,1703.10593,VERIFIED
CS,Image-to-Image Translation with Conditional Adversarial Networks,1611.07004,VERIFIED
CS,AlexNet: ImageNet Classification with Deep Convolutional Neural Networks,UNKNOWN,NO_ID
CS,Very Deep Convolutional Networks for Large-Scale Image Recognition,1409.1556,VERIFIED
CS,Going Deeper with Convolutions,1409.4842,VERIFIED
CS,Aggregated Residual Transformations for Deep Neural Networks,1611.05431,VERIFIED
CS,Densely Connected Convolutional Networks,1608.06993,VERIFIED
CS,MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications,1704.04861,VERIFIED
CS,MobileNetV2: Inverted Residuals and Linear Bottlenecks,1801.04381,VERIFIED
CS,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,1905.11946,VERIFIED
CS,SqueezeNet: AlexNet-level accuracy with 50x fewer parameters and <0.5MB model size,1602.07360,VERIFIED
CS,Neural Architecture Search with Reinforcement Learning,1611.01578,VERIFIED
CS,DARTS: Differentiable Architecture Search,1806.09055,VERIFIED
CS,Efficient Neural Architecture Search via Parameter Sharing,1802.03268,VERIFIED
CS,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,1703.03400,VERIFIED
CS,Prototypical Networks for Few-shot Learning,1703.05175,VERIFIED
CS,Matching Networks for One Shot Learning,1606.04080,VERIFIED
CS,On First-Order Meta-Learning Algorithms,1803.02999,VERIFIED
CS,On the $\infty$-categorical Whitehead theorem and the embedding of quasicategories in prederivators,1612.06980,TITLE_MISMATCH
CS,Siamese Neural Networks for One-shot Image Recognition,UNKNOWN,NO_ID
CS,Communication-Efficient Learning of Deep Networks from Decentralized Data,1602.05629,VERIFIED
CS,Advances and Open Problems in Federated Learning,1912.04977,VERIFIED
CS,Differentially Private Stochastic Gradient Descent,UNKNOWN,NO_ID
CS,Deep Learning with Differential Privacy,1607.00133,VERIFIED
CS,Semi-supervised Knowledge Transfer for Deep Learning from Private Training Data,1610.05755,VERIFIED
CS,Adversarial examples in the physical world,1607.02533,VERIFIED
CS,Explaining and Harnessing Adversarial Examples,1412.6572,VERIFIED
CS,Towards Evaluating the Robustness of Neural Networks,1608.04644,VERIFIED
CS,DeepFool: a simple and accurate method to fool deep neural networks,1511.04599,VERIFIED
CS,Universal adversarial perturbations,1610.08401,VERIFIED
CS,Certifying Some Distributional Robustness with Principled Adversarial Training,1710.10571,VERIFIED
CS,"""Why Should I Trust You?"": Explaining the Predictions of Any Classifier",1602.04938,VERIFIED
CS,A Unified Approach to Interpreting Model Predictions,1705.07874,VERIFIED
CS,Grad-CAM: Visual Explanations from Deep Networks via Gradient-based Localization,1610.02391,VERIFIED
CS,Axiomatic Attribution for Deep Networks,1703.01365,VERIFIED
CS,Understanding Black-box Predictions via Influence Functions,1703.04730,VERIFIED
CS,Neural Ordinary Differential Equations,1806.07366,VERIFIED
CS,NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis,2003.08934,VERIFIED
CS,Denoising Diffusion Probabilistic Models,2006.11239,VERIFIED
CS,High-Resolution Image Synthesis with Latent Diffusion Models,2112.10752,VERIFIED
CS,Learning Transferable Visual Models From Natural Language Supervision,2103.00020,VERIFIED
CS,DALL-E: Zero-Shot Text-to-Image Generation,2102.12092,ID_NOT_FOUND
CS,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,2010.11929,VERIFIED
CS,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,2103.14030,ID_NOT_FOUND
CS,WaveNet: A Generative Model for Raw Audio,1609.03499,ID_NOT_FOUND
CS,Tacotron 2: Natural TTS Synthesis by Conditioning WaveNet on Mel Spectrogram Predictions,1712.05884,ID_NOT_FOUND
CS,Deep Speech 2: End-to-End Speech Recognition in English and Mandarin,1512.02595,ID_NOT_FOUND
CS,HuBERT: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units,2106.07447,ID_NOT_FOUND
CS,AlphaFold: Highly accurate protein structure prediction with AlphaFold,UNKNOWN,NO_ID
CS,AlphaStar: Mastering the Real-Time Strategy Game StarCraft II,UNKNOWN,NO_ID
CS,MuZero: Mastering Atari Go Chess and Shogi by Planning with a Learned Model,1911.08265,ID_NOT_FOUND
CS,InstructGPT: Training language models to follow instructions with human feedback,2203.02155,ID_NOT_FOUND
CS,RLHF: Deep Reinforcement Learning from Human Preferences,1706.03741,ID_NOT_FOUND
CS,LoRA: Low-Rank Adaptation of Large Language Models,2106.09685,ID_NOT_FOUND
CS,FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness,2205.14135,ID_NOT_FOUND
CS,Chinchilla: Training Compute-Optimal Large Language Models,2203.15556,ID_NOT_FOUND
CS,PaLM: Scaling Language Modeling with Pathways,2204.02311,ID_NOT_FOUND
CS,OPT: Open Pre-trained Transformer Language Models,2205.01068,ID_NOT_FOUND
CS,LLaMA: Open and Efficient Foundation Language Models,2302.13971,VERIFIED
CS,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,2201.11903,VERIFIED
CS,Self-Consistency Improves Chain of Thought Reasoning in Language Models,2203.11171,ID_NOT_FOUND
CS,ReAct: Synergizing Reasoning and Acting in Language Models,2210.03629,ID_NOT_FOUND
CS,AutoGPT: Autonomous Agents for Language Models,UNKNOWN,NO_ID
CS,Generative Agents: Interactive Simulacra of Human Behavior,2304.03442,ID_NOT_FOUND
CS,Voyager: An Open-Ended Embodied Agent with Large Language Models,2305.16291,ID_NOT_FOUND
CS,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2305.10601,ID_NOT_FOUND
CS,Sparks of Artificial General Intelligence: Early experiments with GPT-4,2303.12712,ID_NOT_FOUND
CS,Constitutional AI: Harmlessness from AI Feedback,2212.08073,ID_NOT_FOUND
CS,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,2305.06500,ID_NOT_FOUND
CS,Flamingo: a Visual Language Model for Few-Shot Learning,2204.14198,VERIFIED
CS,Segment Anything,2304.02643,VERIFIED
CS,ControlNet: Adding Conditional Control to Text-to-Image Diffusion Models,2302.05543,ID_NOT_FOUND
Math,The entropy formula for the Ricci flow and its geometric applications,math,ID_NOT_FOUND
Math,Ricci flow with surgery on three-manifolds,math,ID_NOT_FOUND
Math,Finite extinction time for the solutions to the Ricci flow on certain three-manifolds,math,ID_NOT_FOUND
Math,The sphere packing problem in dimension 8,1603.04246,ID_NOT_FOUND
Math,The sphere packing problem in dimension 24,1603.06518,ID_NOT_FOUND
Math,On large subsets of F_q^n with no three-term arithmetic progression,1605.09223,ID_NOT_FOUND
Math,Improved bounds for the sunflower lemma,1908.09327,ID_NOT_FOUND
Math,Induced subgraphs of hypercubes and a proof of the Sensitivity Conjecture,1907.00847,ID_NOT_FOUND
Math,A proof of the invariant subspace problem for Banach spaces,UNKNOWN,NO_ID
Math,Fractional intersections of theorems and bounds,UNKNOWN,NO_ID
Math,On the Twin Prime Conjecture,UNKNOWN,NO_ID
Math,Bounded gaps between primes,UNKNOWN,NO_ID
Math,New bounds for the zeros of the Riemann zeta function,UNKNOWN,NO_ID
Math,A new proof of the existence of invariants,UNKNOWN,NO_ID
Math,The resolution of singularity for algebraic varieties over fields of characteristic zero,math,ID_NOT_FOUND
Math,On the local Langlands conjecture for GL(n) over a p-adic local field,math,ID_NOT_FOUND
Math,The modularity of elliptic curves over Q,math,ID_NOT_FOUND
Math,Modularity of abelian surfaces,math,ID_NOT_FOUND
Math,Fermat's Last Theorem for Amicable Numbers,1508.06456,ID_NOT_FOUND
Math,Proof of the geometric Langlands conjecture,UNKNOWN,NO_ID
Math,A simple proof of the fundamental theorem of algebra,math,ID_NOT_FOUND
Math,The Green-Tao Theorem on arbitrary subsets of primes,UNKNOWN,NO_ID
Math,The primes contain arbitrarily long polynomial progressions,math,ID_NOT_FOUND
Math,Linear equations in primes,math,ID_NOT_FOUND
Math,A solution to the Erdos similarity problem,UNKNOWN,NO_ID
Math,On the Erdos discrepancy problem,1509.05389,ID_NOT_FOUND
Math,An improvement of the bound for the Erdos distinct distances problem,1011.0824,ID_NOT_FOUND
Math,Polynomial partitioning and the Erdos distinct distances problem,1011.0824,ID_NOT_FOUND
Math,A short proof of the Kakeya maximal operator conjecture,UNKNOWN,NO_ID
Math,The decimation-in-frequency fast Fourier transform,UNKNOWN,NO_ID
Math,Resolution of the ABC conjecture,UNKNOWN,NO_ID
Math,Inter-universal Teichmuller Theory I: Construction of Hodge Theaters,UNKNOWN,NO_ID
Math,Solving the Kadison-Singer Problem,1306.3969,ID_NOT_FOUND
Math,Interlacing Families II: Mixed Characteristic Polynomials and the Kadison-Singer problem,1306.3969,ID_NOT_FOUND
Math,A counterexample to the Borsuk conjecture,math,ID_NOT_FOUND
Math,The chromatic number of the plane is at least 5,1804.02385,ID_NOT_FOUND
Math,Proof of the strict inequalities for the chromatic number of graphs,UNKNOWN,NO_ID
Math,The Kepler Conjecture,math,ID_NOT_FOUND
Math,A formal proof of the Kepler conjecture,1501.02155,ID_NOT_FOUND
Math,The existence of a complete metric of positive scalar curvature,UNKNOWN,NO_ID
Math,The Atiyah-Singer index theorem,UNKNOWN,NO_ID
Math,The Seiberg-Witten equations and applications to the topology of smooth four-manifolds,math,ID_NOT_FOUND
Math,The Jones polynomial and knots,math,ID_NOT_FOUND
Math,Khovanov homology,math,ID_NOT_FOUND
Math,A categorization of the Jones polynomial,math,ID_NOT_FOUND
Math,The smooth Poincare conjecture in dimension four,UNKNOWN,NO_ID
Math,The Birch and Swinnerton-Dyer conjecture for elliptic curves,UNKNOWN,NO_ID
Math,On the Hodge conjecture,UNKNOWN,NO_ID
Math,The Navier-Stokes existence and smoothness problem,UNKNOWN,NO_ID
Math,Yang-Mills existence and mass gap,UNKNOWN,NO_ID
Math,The P versus NP problem,UNKNOWN,NO_ID
Math,A proof of the weak Goldbach conjecture,1305.2897,ID_NOT_FOUND
Math,Goldbach's weak conjecture for primes,1305.2897,ID_NOT_FOUND
Math,The existence of bounded gaps between primes,1305.2897,ID_NOT_FOUND
Math,Proof of the main conjecture of Iwasawa theory,math,ID_NOT_FOUND
Math,The Gross-Zagier formula,math,ID_NOT_FOUND
Math,The L-functions of elliptic curves,math,ID_NOT_FOUND
Math,The Sato-Tate conjecture,math,ID_NOT_FOUND
Math,Proof of the Sato-Tate conjecture for an abelian variety,math,ID_NOT_FOUND
Math,The fundamental lemma for the Langlands program,0801.3507,ID_NOT_FOUND
Math,A geometric proof of the fundamental lemma,0801.3507,ID_NOT_FOUND
Math,The Weil conjectures,math,ID_NOT_FOUND
Math,On the cohomology of algebraic varieties,math,ID_NOT_FOUND
Math,The arithmetic of elliptic curves,math,ID_NOT_FOUND
Math,A new method for bounding the ranks of elliptic curves,math,ID_NOT_FOUND
Math,The structure of finite simple groups,math,ID_NOT_FOUND
Math,The classification of finite simple groups,math,ID_NOT_FOUND
Math,The independence of the continuum hypothesis,math,ID_NOT_FOUND
Physics,First Observation of Gravitational Waves from a Binary Black Hole Merger,1602.03837,ID_NOT_FOUND
Physics,Observation of a new particle in the search for the Standard Model Higgs boson with the ATLAS detector at the LHC,1207.7214,ID_NOT_FOUND
Physics,Observation of a new boson at a mass of 125 GeV with the CMS experiment at the LHC,1207.7235,ID_NOT_FOUND
Physics,Discovery of a Superfluid Phase of 3He,cond-mat,ID_NOT_FOUND
Physics,Bose-Einstein Condensation in a Gas of Sodium Atoms,cond-mat,ID_NOT_FOUND
Physics,Anti-de Sitter Space and Holography,hep-th,ID_NOT_FOUND
Physics,The Large N Limit of Superconformal Field Theories and Supergravity,hep-th,ID_NOT_FOUND
Physics,Planck 2018 results. VI. Cosmological parameters,1807.06209,ID_NOT_FOUND
Physics,Planck 2015 results. XIII. Cosmological parameters,1502.01589,ID_NOT_FOUND
Physics,First M87 Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole,1906.11238,ID_NOT_FOUND
Physics,Observation of High-Energy Astrophysical Neutrinos in Three Years of IceCube Data,1405.5300,ID_NOT_FOUND
Physics,Evidence for High-Energy Extraterrestrial Neutrinos at the IceCube Detector,1311.5238,ID_NOT_FOUND
Physics,Measurements of the Higgs boson production and decay rates,1507.04548,ID_NOT_FOUND
Physics,Search for the standard model Higgs boson,hep-ex,ID_NOT_FOUND
Physics,High-Tc Superconductivity based on correlated electrons,cond-mat,ID_NOT_FOUND
Physics,Theory of superconductivity,cond-mat,ID_NOT_FOUND
Physics,Quantum Computation with Quantum Dots,cond-mat,ID_NOT_FOUND
Physics,Polynomial-Time Algorithms for Prime Factorization and Discrete Logarithms on a Quantum Computer,quant-ph,ID_NOT_FOUND
Physics,Quantum Supremacy Using a Programmable Superconducting Processor,1910.11333,ID_NOT_FOUND
Physics,Demonstration of quantum supremacy using random circuit sampling,1910.11333,ID_NOT_FOUND
Physics,Experimental Realization of Quantum Teleportation,quant-ph,ID_NOT_FOUND
Physics,Bell's inequalities,quant-ph,ID_NOT_FOUND
Physics,Loop Quantum Gravity,gr-qc,ID_NOT_FOUND
Physics,M-Theory as a Matrix Model: A Conjecture,hep-th,ID_NOT_FOUND
Physics,String Theory and M-Theory,hep-th,ID_NOT_FOUND
Physics,Topological Insulators and Superconductors,1008.2026,ID_NOT_FOUND
Physics,Colloquium: Topological insulators,1002.3895,ID_NOT_FOUND
Physics,The Quantum Spin Hall Effect and Topological Phase Transition in HgTe Quantum Wells,cond-mat,ID_NOT_FOUND
Physics,Observation of the quantum spin Hall effect,0705.1524,ID_NOT_FOUND
Physics,Graphene: Status and Prospects,0902.3208,ID_NOT_FOUND
Physics,Electric Field Effect in Atomically Thin Carbon Films,cond-mat,ID_NOT_FOUND
Physics,Room-Temperature Quantum Hall Effect in Graphene,cond-mat,ID_NOT_FOUND
Physics,Fractional Quantum Hall Effect in Graphene,0904.0934,ID_NOT_FOUND
Physics,Observation of the fractional quantum Hall effect,cond-mat,ID_NOT_FOUND
Physics,Discovery of the Muon Neutrino,hep-ex,ID_NOT_FOUND
Physics,Observation of Neutrino Oscillations,hep-ex,ID_NOT_FOUND
Physics,The Discovery of the Expanding Universe,astro-ph,ID_NOT_FOUND
Physics,Discovery of a supernova explosion at half the age of the Universe,astro-ph,ID_NOT_FOUND
Physics,Measurements of Omega and Lambda from 42 High-Redshift Supernovae,astro-ph,ID_NOT_FOUND
Physics,Observational Evidence from Supernovae for an Accelerating Universe,astro-ph,ID_NOT_FOUND
Physics,First Observation of the Greisen-Zatsepin-Kuzmin Suppression,astro-ph,ID_NOT_FOUND
Physics,Observation of Gravitational Waves from a Binary Neutron Star Inspiral,1710.05832,ID_NOT_FOUND
Physics,Multi-messenger Observations of a Binary Neutron Star Merger,1710.05833,ID_NOT_FOUND
Bio,RoseTTAFold: Accurate prediction of protein structures and interactions,2107.05047,ID_NOT_FOUND
Bio,Cell Ranger: A scalable and robust 3` single-cell RNA-seq clustering workflow,UNKNOWN,NO_ID
Bio,scikit-learn: Machine Learning in Python for Bioinformatics,1201.0490,ID_NOT_FOUND
Bio,DeepBind: Predicting the sequence specificities of DNA- and RNA-binding proteins,1508.01259,ID_NOT_FOUND
Bio,DeepSEA: Predicting effects of noncoding variants with deep learning-based sequence model,1508.01259,ID_NOT_FOUND
Bio,A deep learning approach to antibiotic discovery,UNKNOWN,NO_ID
Bio,Protein sequence-to-structure learning with transformers,2012.15340,ID_NOT_FOUND
Bio,ESMFold: Evolutionary Scale Modeling of protein structures,2207.14255,ID_NOT_FOUND
Bio,CRISPR-Cas9-mediated genome editing in human cells,UNKNOWN,NO_ID
Bio,Base editing: precision chemistry on the genome,UNKNOWN,NO_ID
Bio,Prime editing: search-and-replace genome editing,UNKNOWN,NO_ID
Bio,A Unified Approach to Interpreting Model Predictions,1705.07874,VERIFIED
Bio,Graph Convolutional Networks for drug discovery,1808.03264,ID_NOT_FOUND
Bio,DeepVariant: Highly accurate genome sequencing,UNKNOWN,NO_ID
Bio,AlphaMissense: accurate prediction of variant effects,UNKNOWN,NO_ID
Bio,De novo generation of protein sequences,1904.0934,ID_NOT_FOUND
Bio,Learning Transferable Visual Models From Natural Language Supervision,2103.00020,TITLE_MISMATCH
Bio,Evaluating Large Language Models Trained on Code,2107.03374,TITLE_MISMATCH
Bio,Protein language models for evolutionary inferences,2207.14255,ID_NOT_FOUND
Bio,Single-cell transcriptomics for developmental biology,UNKNOWN,NO_ID
Bio,Spatial transcriptomics reveals the architecture of tissues,UNKNOWN,NO_ID
Bio,Advances and Open Problems in Federated Learning,1912.04977,TITLE_MISMATCH
Bio,"""Why Should I Trust You?"": Explaining the Predictions of Any Classifier",1602.04938,TITLE_MISMATCH
Bio,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,1506.01497,TITLE_MISMATCH
Bio,Neural Ordinary Differential Equations,1806.07366,TITLE_MISMATCH
Bio,Quantum properties of biological molecules,UNKNOWN,NO_ID
Bio,AlphaFold3: Accurately predicting protein,UNKNOWN,NO_ID
Bio,Whole-cell computational modeling,UNKNOWN,NO_ID
Bio,Semantic Image Synthesis with Spatially-Adaptive Normalization,1903.07291,TITLE_MISMATCH
Bio,Single-molecule sequencing technologies,UNKNOWN,NO_ID
Bio,Synthetic biology: circuits in living cells,UNKNOWN,NO_ID
CS,Generative Pre-trained Transformer 2,UNKNOWN,NO_ID
CS,Language Models are Few-Shot Learners,2005.14165,TITLE_MISMATCH
CS,GPT-4 Technical Report,2303.08774,VERIFIED
CS,BART: Denoising Sequence-to-Sequence Pre-training,1910.13461,ID_NOT_FOUND
CS,Reformer: The Efficient Transformer,2001.04451,ID_NOT_FOUND
CS,Longformer: The Long-Document Transformer,2004.05150,ID_NOT_FOUND
CS,Linformer: Self-Attention with Linear Complexity,2006.04768,ID_NOT_FOUND
CS,Perceiver: General Perception with Iterative Attention,2103.03206,ID_NOT_FOUND
CS,Perceiver IO: A General Architecture for Structured Inputs & Outputs,2107.14795,ID_NOT_FOUND
CS,A ConvNet for the 2020s,2201.03545,ID_NOT_FOUND
CS,MLP-Mixer: An all-MLP Architecture for Vision,2105.01601,ID_NOT_FOUND
CS,Masked Autoencoders Are Scalable Vision Learners,2111.06377,ID_NOT_FOUND
CS,MoCo: Momentum Contrast for Unsupervised Visual Representation Learning,1911.05722,ID_NOT_FOUND
CS,BYOL: Bootstrap Your Own Latent A New Approach to Self-Supervised Learning,2006.07733,ID_NOT_FOUND
CS,Emerging Properties in Self-Supervised Vision Transformers,2104.14294,VERIFIED
CS,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,1612.00593,ID_NOT_FOUND
CS,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,1706.02413,VERIFIED
CS,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,1711.06396,ID_NOT_FOUND
CS,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,1901.02860,ID_NOT_FOUND
CS,XLNet: Generalized Autoregressive Pretraining for Language Understanding,1906.08237,ID_NOT_FOUND
CS,ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators,2003.10555,ID_NOT_FOUND
CS,DeBERTa: Decoding-enhanced BERT with Disentangled Attention,2006.03654,ID_NOT_FOUND
CS,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,1909.08053,ID_NOT_FOUND
CS,ZeRO: Memory Optimizations Toward Training Trillion Parameter Models,1910.02054,VERIFIED
CS,DeepSpeed: System Optimizations Enable Training Deep Learning Models with Over 100 Billion Parameters,UNKNOWN,NO_ID
CS,TensorFlow: A System for Large-Scale Machine Learning,1605.08695,ID_NOT_FOUND
CS,Horovod: fast and easy distributed deep learning in TensorFlow,1802.05799,ID_NOT_FOUND
CS,Dryad: Distributed Data-Parallel Programs from Sequential Building Blocks,UNKNOWN,NO_ID
CS,MapReduce: Simplified Data Processing on Large Clusters,UNKNOWN,NO_ID
CS,Paxos Made Simple,UNKNOWN,NO_ID
CS,In Search of an Understandable Consensus Algorithm (Raft),UNKNOWN,NO_ID
